EXPECEDU_BACHELORS,Growth_str_agree,Growth_agree,Growth_disagree,LANG_of_test,Grade_9,Grade_10,Female,CNTSTUID,BELONG,BULLIED,ESCS,FAMSUP
1.0,0.0,1,0.0,1.0,0,1,1.0,84000182,-0.3128,0.8171,0.2765,0.0314
,0.0,0,1.0,1.0,0,1,1.0,84000184,-1.355,0.2121,-1.6814,-1.246
1.0,1.0,0,0.0,1.0,0,1,0.0,84000186,-0.2459,-1.228,0.2959,1.779
,0.0,0,1.0,1.0,0,1,1.0,84000187,-0.6065,0.7075,0.5868,-0.7572
0.0,0.0,0,1.0,0.0,0,0,0.0,84000188,-0.2482,-1.228,-2.7128,0.8435
0.0,0.0,0,1.0,1.0,0,1,1.0,84000190,-1.1623,-1.228,-1.1196,-1.5837
1.0,0.0,0,1.0,1.0,0,1,1.0,84000192,-0.3397,-1.228,0.8181,-0.5917
,0.0,0,0.0,1.0,0,1,1.0,84000194,,,-0.9436,
1.0,0.0,0,1.0,1.0,0,0,1.0,84000195,0.3084,-1.228,-0.0177,-0.4068
0.0,0.0,0,1.0,1.0,0,1,1.0,84000196,-0.6508,0.996,0.6594,-2.2596
1.0,0.0,0,1.0,1.0,0,1,1.0,84000201,-1.0812,0.6451,-0.3175,-0.9057
,0.0,0,0.0,1.0,0,1,0.0,84000203,1.4416,-1.228,-0.0046,1.3432
0.0,0.0,0,1.0,1.0,0,1,1.0,84000206,-1.5922,1.0153,-0.8296,0.0262
0.0,0.0,0,0.0,1.0,0,0,0.0,84000208,-0.418,-0.267,0.9357,-1.1529
1.0,,0,,1.0,0,1,0.0,84000209,-0.5087,-1.228,-0.3423,
1.0,0.0,0,1.0,1.0,0,1,0.0,84000210,-0.4839,0.2652,0.7239,-1.0883
0.0,0.0,0,1.0,1.0,0,1,0.0,84000211,-0.1203,-1.228,0.3489,1.7256
,0.0,0,1.0,1.0,0,1,0.0,84000213,-0.3485,0.9917,1.2515,-0.0068
,0.0,0,0.0,1.0,0,1,1.0,84000215,,,-1.8906,
1.0,0.0,0,1.0,1.0,0,1,1.0,84000216,-0.6206,0.2289,0.0914,0.212
0.0,0.0,0,1.0,1.0,0,1,1.0,84000218,-0.7532,1.2048,-1.1413,-0.342
1.0,0.0,0,1.0,0.0,0,0,1.0,84000219,-1.6319,1.111,-0.1977,-1.572
,0.0,0,0.0,1.0,0,1,0.0,84000220,,,-1.012,
0.0,0.0,0,1.0,0.0,0,1,0.0,84000221,-0.471,-0.391,0.1464,-0.5318
1.0,1.0,0,0.0,0.0,0,1,0.0,84000223,1.3972,-1.228,1.6478,0.7162
,0.0,0,0.0,1.0,0,1,0.0,84000224,-0.3397,-0.1325,1.1824,
,0.0,1,0.0,1.0,0,1,1.0,84000228,-0.7532,0.5504,-0.1466,-0.0554
0.0,0.0,1,0.0,1.0,0,1,0.0,84000231,0.3857,-0.3264,1.2238,-0.4769
0.0,0.0,0,0.0,1.0,0,1,1.0,84000233,-0.7628,-0.1325,-1.0117,-1.4653
,0.0,0,1.0,1.0,0,1,0.0,84000235,-0.6208,0.1924,1.2582,-0.6673
,0.0,0,1.0,1.0,0,0,1.0,84000237,-0.7438,0.5504,1.8545,-0.3543
,,0,,,0,1,1.0,84000239,,,,
0.0,0.0,1,0.0,1.0,0,1,0.0,84000240,-0.6035,0.379,0.3835,0.2211
,0.0,1,0.0,1.0,0,1,0.0,84000243,-0.2482,-1.228,1.3376,0.0522
1.0,0.0,0,1.0,1.0,0,1,0.0,84000246,0.3519,-1.228,0.846,1.7802
,0.0,0,1.0,0.0,0,0,0.0,84000252,,,-1.6913,
1.0,0.0,0,0.0,1.0,0,1,1.0,84000253,-0.4941,-1.228,0.6467,0.787
1.0,0.0,0,0.0,1.0,0,1,1.0,84000254,-1.5749,1.7672,0.7834,-0.7495
0.0,1.0,0,0.0,1.0,0,1,0.0,84000255,-1.0407,1.0526,-1.4923,1.3432
0.0,0.0,1,0.0,1.0,0,1,1.0,84000256,-0.9024,-0.267,-0.0645,1.6908
,0.0,0,0.0,1.0,0,1,0.0,84000258,,,-1.2342,
1.0,1.0,0,0.0,1.0,0,1,0.0,84000260,2.1143,-1.228,-0.2727,1.5146
1.0,0.0,0,1.0,1.0,0,1,1.0,84000261,-1.1147,-0.1325,-0.6339,-0.6675
,0.0,0,1.0,0.0,0,1,0.0,84000262,-1.0968,1.2479,-0.7764,0.1065
1.0,0.0,0,0.0,1.0,0,1,0.0,84000264,-0.7225,-1.228,0.8382,1.5707
1.0,0.0,0,1.0,1.0,0,0,1.0,84000265,-0.6606,-1.228,-0.1675,1.4745
,0.0,0,1.0,1.0,0,1,1.0,84000266,-1.1726,-1.228,0.5896,1.4425
1.0,1.0,0,0.0,0.0,0,1,0.0,84000267,0.3086,-1.228,-1.1726,-0.144
1.0,0.0,0,1.0,1.0,0,1,1.0,84000268,-0.3485,0.2988,0.9605,0.0714
1.0,0.0,1,0.0,1.0,0,1,0.0,84000271,-0.0602,-0.1325,-0.4387,1.212
,,0,,,0,1,0.0,84000273,,,,
1.0,0.0,1,0.0,0.0,0,1,1.0,84000279,-2.0257,-0.267,0.2632,-0.4831
0.0,0.0,0,1.0,1.0,0,1,0.0,84000280,0.1673,-1.228,0.0441,-1.1009
,0.0,0,0.0,1.0,0,1,1.0,84000281,,,1.2789,
0.0,0.0,0,0.0,1.0,0,1,0.0,84000282,-0.3512,1.1354,-0.3576,1.5928
1.0,0.0,0,0.0,1.0,0,1,1.0,84000284,-0.3397,-0.3264,-0.8608,-0.5802
0.0,0.0,0,1.0,0.0,0,1,0.0,84000287,-0.338,-0.267,-1.2738,-0.516
,0.0,0,0.0,1.0,0,0,0.0,84000290,1.0833,-1.228,0.37,1.5201
,0.0,0,0.0,,0,0,1.0,84000291,,,,
1.0,0.0,0,0.0,1.0,0,0,0.0,84000292,1.1471,-1.228,-0.0183,-0.6246
0.0,0.0,0,1.0,1.0,0,1,0.0,84000294,-0.2482,-1.228,-2.0895,0.2705
1.0,0.0,0,0.0,1.0,0,1,0.0,84000295,1.0491,-1.228,0.3922,0.9416
0.0,0.0,1,0.0,1.0,0,1,1.0,84000296,-0.4768,-0.5168,-1.7481,1.685
0.0,0.0,1,0.0,1.0,0,1,0.0,84000298,0.5211,-0.1879,1.0124,-0.5512
0.0,0.0,0,0.0,1.0,1,0,0.0,84000300,0.8759,0.1209,-0.7849,-0.1778
1.0,0.0,1,0.0,0.0,0,1,0.0,84000302,-0.3485,-0.1325,-0.4096,1.6545
1.0,0.0,0,0.0,1.0,0,1,1.0,84000305,2.4581,-1.228,1.8364,-0.2488
0.0,0.0,0,1.0,1.0,0,1,1.0,84000306,-0.7304,0.2289,-0.1179,-0.5387
1.0,0.0,0,1.0,0.0,0,0,1.0,84000308,-0.0437,-1.228,-1.3469,-0.8039
1.0,0.0,0,1.0,1.0,0,1,1.0,84000309,-1.1623,-1.228,-2.835,0.6416
,,0,,,0,1,0.0,84000310,,,,
0.0,0.0,1,0.0,1.0,0,1,1.0,84000311,-1.0968,0.7935,-1.0127,-0.5445
,,0,,,0,1,1.0,84000312,,,,
1.0,0.0,1,0.0,0.0,0,0,1.0,84000313,-0.6065,0.5805,-1.6311,-0.6546
,,0,,,0,1,1.0,84000314,,,,
0.0,0.0,1,0.0,1.0,0,1,0.0,84000320,-0.2482,-0.5168,-0.0723,1.0069
,,0,,1.0,1,0,0.0,84000321,,,-0.2261,
1.0,0.0,0,1.0,1.0,0,0,1.0,84000322,-0.4514,0.469,0.7768,-0.0789
,0.0,1,0.0,1.0,0,1,1.0,84000325,-0.3261,-1.228,1.1793,0.39
